   11.0000000000000     
          30
   0.00000000   1.99208200   0.00000000   0.02904179   0.00000000   0.02904179   0.25000000   0.02904179   0.02904179
   0.00000000   1.99208200   0.00000000   0.02904179   0.02904179   0.97095821   0.25000000   0.02904179   0.12500000
   0.00000000   1.99208200   0.00000000   0.02904179   0.97095821   1.00000000   0.25000000   0.02904179   0.02904179
   0.00000000   1.99208200   0.02904179   2.00000000   0.00000000   0.02904179   0.25000000   0.12500000   0.02904179
   0.00000000   1.99208200   0.02904179   2.00000000   0.02904179   0.97095821   0.25000000   0.12500000   0.12500000
   0.00000000   1.99208200   0.02904179   2.00000000   0.97095821   1.00000000   0.25000000   0.12500000   0.02904179
   1.99208200   2.19208200   0.00000000   0.02904179   0.00000000   0.02904179   0.20000000   0.02904179   0.02904179
   1.99208200   2.19208200   0.00000000   0.02904179   0.02904179   0.97095821   0.20000000   0.02904179   0.12500000
   1.99208200   2.19208200   0.00000000   0.02904179   0.97095821   1.00000000   0.20000000   0.02904179   0.02904179
   1.99208200   2.19208200   0.02904179   2.00000000   0.00000000   0.02904179   0.20000000   0.12500000   0.02904179
   1.99208200   2.19208200   0.02904179   2.00000000   0.02904179   0.97095821   0.20000000   0.12500000   0.12500000
   1.99208200   2.19208200   0.02904179   2.00000000   0.97095821   1.00000000   0.20000000   0.12500000   0.02904179
   2.19208200   2.39208200   0.00000000   0.02904179   0.00000000   0.02904179   0.20000000   0.02904179   0.02904179
   2.19208200   2.39208200   0.00000000   0.02904179   0.02904179   0.97095821   0.20000000   0.02904179   0.12500000
   2.19208200   2.39208200   0.00000000   0.02904179   0.97095821   1.00000000   0.20000000   0.02904179   0.02904179
   2.19208200   2.39208200   0.02904179   2.00000000   0.00000000   0.02904179   0.20000000   0.12500000   0.02904179
   2.19208200   2.39208200   0.02904179   2.00000000   0.02904179   0.97095821   0.20000000   0.12500000   0.12500000
   2.19208200   2.39208200   0.02904179   2.00000000   0.97095821   1.00000000   0.20000000   0.12500000   0.02904179
   2.39208200   4.20000000   0.00000000   0.02904179   0.00000000   0.02904179   0.25000000   0.02904179   0.02904179
   2.39208200   4.20000000   0.00000000   0.02904179   0.02904179   0.97095821   0.25000000   0.02904179   0.12500000
   2.39208200   4.20000000   0.00000000   0.02904179   0.97095821   1.00000000   0.25000000   0.02904179   0.02904179
   2.39208200   4.20000000   0.02904179   2.00000000   0.00000000   0.02904179   0.25000000   0.12500000   0.02904179
   2.39208200   4.20000000   0.02904179   2.00000000   0.02904179   0.97095821   0.25000000   0.12500000   0.12500000
   2.39208200   4.20000000   0.02904179   2.00000000   0.97095821   1.00000000   0.25000000   0.12500000   0.02904179
   4.20000000  11.00000000   0.00000000   0.02904179   0.00000000   0.02904179   1.00000000   0.02904179   0.02904179
   4.20000000  11.00000000   0.00000000   0.02904179   0.02904179   0.97095821   1.00000000   0.02904179   0.12500000
   4.20000000  11.00000000   0.00000000   0.02904179   0.97095821   1.00000000   1.00000000   0.02904179   0.02904179
   4.20000000  11.00000000   0.02904179   2.00000000   0.00000000   0.02904179   1.00000000   0.12500000   0.02904179
   4.20000000  11.00000000   0.02904179   2.00000000   0.02904179   0.97095821   1.00000000   0.12500000   0.12500000
   4.20000000  11.00000000   0.02904179   2.00000000   0.97095821   1.00000000   1.00000000   0.12500000   0.02904179
